pair,sentences,pred,TRUE,,,,single,sentences,pred,TRUE,,,duplicated,,
2136,"all our parks in London are beautiful and LOCATION1 general and LOCATION2 are the best parks ever ; they 're really big , right in central London",1,0,,,,2190,LOCATION1 safety is great Tube/overground/THE COMMONS I have lived in LOCATION2 for 25 years and it 's now one the most safest places to live,1,0,,,138,,
2145,"Still , if you 're working on a budget then I still think that the LOCATION2 / LOCATION1 price area is your best bet",0,1,,,,2192,so living near to LOCATION1 general would be very cool,0,1,,,139,,
2148,Would not say LOCATION1 general or LOCATION2 less pleasant,2,1,,,,2204,LOCATION1 general ( Location- West ) -A quiet leafy suburb with some upmarket bars and pubs,1,0,,,140,,
2152,"LOCATION1 general is on the up , with Westfield and the Olympic Park new to the area it has seen regeneration",0,1,,,,2216,LOCATION1 general is the place for you It all depends how much you want to pay for your house,1,0,,,142,,
2156,I like the London borough of LOCATION2 in the south and the LOCATION1 general in the north,0,1,,,,2224,You can always live in the skanky areas like LOCATION1 general,0,2,,,144,,
2170,"LOCATION2 's not a notoriously high crime area it 's easy walking distance to LOCATION1 safety , you 'll enjoy that for the night life",1,0,,,,2235,LOCATION1 transit location is also very leafy ( Hampstead Heath ) Everywhere in London has excellent public transport,1,0,,,145,,
2171,"LOCATION2 's not a notoriously high crime area it 's easy walking distance to LOCATION1 transit location , you 'll enjoy that for the night life",1,0,,,,2244,My final recommendation would have to be LOCATION1 general,0,1,,,#N/A,,
2188,LOCATION1 general is great Tube/overground/THE COMMONS I have lived in LOCATION2 for 25 years and it 's now one the most safest places to live,1,0,,,,2280,EDIT - Carry forget LOCATION1 general your talking 130+ JUST for a room in a flatshare and THAT was in an ex authority dive,0,2,,,146,,
2190,LOCATION1 safety is great Tube/overground/THE COMMONS I have lived in LOCATION2 for 25 years and it 's now one the most safest places to live,1,0,,,,2299,Hundreds of people commute from LOCATION1 transit location to London every day,0,1,,,147,,
2192,so living near to LOCATION1 general would be very cool,0,1,,,,2332,"Just up to road in LOCATION1 general is plain dangerous , I myself was mugged with a knife there once , and I would thoroughly discourage you to look for anything there",0,2,,,151,,
2204,LOCATION1 general ( Location- West ) -A quiet leafy suburb with some upmarket bars and pubs,1,0,,,,2356,"LOCATION1 general nice area , consequently VERY expensive",1,2,,,152,,
2211,"It is about 440 miles this way ; not necessarily the most direct route , but decidedly the quickest After joining the M40 at LOCATION1 transit location , the next urban area is Sighthill in Edinburgh",2,0,,,,2366,I lived in the heart of LOCATION1 safety and never felt safer - it just looked ugly,2,1,,,154,,
2216,LOCATION1 general is the place for you It all depends how much you want to pay for your house,1,0,,,,2383,"If you do n't mind about a fairly lengthy train commute , it would be lovely to live on the LOCATION1 transit location",0,2,,,#N/A,,
2217,LOCATION1 price is the place for you It all depends how much you want to pay for your house,2,0,,,,2432,I have been based in a apartment by LOCATION1 general for a few months no trouble convenient location,0,1,,,156,,
2224,You can always live in the skanky areas like LOCATION1 general,0,2,,,,2434,I have been based in a apartment by LOCATION1 safety for a few months no trouble convenient location,1,0,,,157,,
2235,LOCATION1 transit location is also very leafy ( Hampstead Heath ) Everywhere in London has excellent public transport,1,0,,,,2444,"LOCATION1 general is fine - plenty of shops , restaurants , etc Just make sure you 're near a tube station if you do n't drive",1,0,,,159,,
2280,EDIT - Carry forget LOCATION1 general your talking 130+ JUST for a room in a flatshare and THAT was in an ex authority dive,0,2,,,,2447,"LOCATION1 transit location is fine - plenty of shops , restaurants , etc Just make sure you 're near a tube station if you do n't drive",1,0,,,160,,
2299,Hundreds of people commute from LOCATION1 transit location to London every day,0,1,,,,2487,I live in LOCATION1 transit location which is a short train ride away from central London and across the Thames from LOCATION2 and is full of history,1,0,,,162,,
2302,"i would avoid walking through LOCATION1 safety high street on ur own at night , and i would avoid any odd looking alleyways",0,2,,,,2495,"LOCATION1 transit location is quite far up North and at the border , so that may be a pain location wise but it is also a pleasant area",2,0,,,163,,
2311,LOCATION1 transit location suffers from continuous aircraft noise because it is so close to LOCATION2,2,0,,,,2548,There is are also places in between ( Try around Lavender hill/LOCATION1 general rise ) Good Luck,1,0,,,164,,
2317,Holiday Inn in LOCATION1 price is good if they are running a cheaper tourist deal which they do sometimes,1,0,,,,2557,"If you are on a budget , people usually stay in the LOCATION1 price area which is very popular , and has pretty good nightlife of its own",0,1,,,166,,
2332,"Just up to road in LOCATION1 general is plain dangerous , I myself was mugged with a knife there once , and I would thoroughly discourage you to look for anything there",0,2,,,,2600,"Outside GL could go somewhere like LOCATION1 general which is just to the north Often depends where in Central London you work , as many like to come into the nearest mainline station if live further out",0,1,,,167,,
2356,"LOCATION1 general nice area , consequently VERY expensive",1,2,,,,2624,just stay away from LOCATION1 general I lived in London and worked all over it for several years,2,1,,,169,,
2364,I lived in the heart of LOCATION1 general and never felt safer - it just looked ugly,0,2,,,,2637,"If you are poor , you might live in LOCATION1 price",0,1,,,172,,
2366,I lived in the heart of LOCATION1 safety and never felt safer - it just looked ugly,2,1,,,,2660,LOCATION1 general is nothing special but like all of London it is expensive,2,0,,,173,,
2400,"LOCATION1 general is one of the most exciting areas in London and we expect you will spend quite a bit of time exploring its attractions ( and perhaps , shopping )",1,0,,,,2683,"LOCATION1 transit location hmmm mm , take the tube to the London then",1,0,,,175,,
2432,I have been based in a apartment by LOCATION1 general for a few months no trouble convenient location,0,1,,,,2728,I lived in LOCATION1 general for three years and I loved it,1,0,,,176,,
2434,I have been based in a apartment by LOCATION1 safety for a few months no trouble convenient location,1,0,,,,2788,"I only know about LOCATION1 general , most people prefer LOCATION2 , but that 's because they are trendy and I 'm not",1,0,,,177,,
2437,"And West , plenty of ( rich ) people live in LOCATION1 price and LOCATION2 London and Greater London are different names for the exact same area",2,0,,,,2799,"in LOCATION1 transit location , that way when you are going to and from LOCATION2 all you have to do is get on the train and not have to worry about getting across London on the Tube with your suitcases and risk delays and so on",1,0,,,178,,
2444,"LOCATION1 general is fine - plenty of shops , restaurants , etc Just make sure you 're near a tube station if you do n't drive",1,0,,,,2811,And you can jump on a bus and be in LOCATION1 transit location within 10mins,0,1,,,#N/A,,
2447,"LOCATION1 transit location is fine - plenty of shops , restaurants , etc Just make sure you 're near a tube station if you do n't drive",1,0,,,,2833,"You might just find a bedsit or a `` studio '' as they are now called in a grotty part of London like LOCATION2 or LOCATION1 price for 600 pounds but that will be the bare minimum including bills , and the street you are on and the people in your block of flats will probably be quite skanky or even dangerous",2,0,,,#N/A,,
2471,LOCATION1 transit location and LOCATION2 Common have the only remaining island platforms in tunnel,1,0,,,,2852,"LOCATION1 general obviously , unless you enjoy commuting Anywhere nice in London is at least 250pw for a 1 bed flat plus bills",0,1,,,179,,
2487,I live in LOCATION1 transit location which is a short train ride away from central London and across the Thames from LOCATION2 and is full of history,1,0,,,,2855,"LOCATION1 transit location obviously , unless you enjoy commuting Anywhere nice in London is at least 250pw for a 1 bed flat plus bills",1,0,,,#N/A,,
2495,"LOCATION1 transit location is quite far up North and at the border , so that may be a pain location wise but it is also a pleasant area",2,0,,,,2896,"I do like LOCATION1 general , and from what I remember , it is a culturally diverse area where some people still have some sense of community",0,1,,,#N/A,,
2548,There is are also places in between ( Try around Lavender hill/LOCATION1 general rise ) Good Luck,1,0,,,,2932,"Also , in the back streets behind LOCATION1 general ( such as Goodge Street and Mortimer Street ) you can get a number of nice places with a more traditional feel , and these are usually a bit cheaper as well",0,1,,,184,,
2556,"If you are on a budget , people usually stay in the LOCATION1 general area which is very popular , and has pretty good nightlife of its own",0,1,,,,3020,"I 'd stay away from LOCATION1 general , there are much nicer places to live",2,0,,,187,,
2557,"If you are on a budget , people usually stay in the LOCATION1 price area which is very popular , and has pretty good nightlife of its own",2,1,,,,3033,"Because there are a ton of hotels in LOCATION1 price there are also tons of places to eat , pubs and so on",2,0,,,#N/A,,
2600,"Outside GL could go somewhere like LOCATION1 general which is just to the north Often depends where in Central London you work , as many like to come into the nearest mainline station if live further out",0,1,,,,3038,"LOCATION1 safety is supposed to be nice , I heard the traffic is murder though",2,0,,,188,,
2623,At the centre of London are the LOCATION1 transit location ( historically the seat of the Government ) and the London immediately to the east which was the original core of London,1,0,,,,3039,"LOCATION1 transit location is supposed to be nice , I heard the traffic is murder though",0,2,,,#N/A,,
2624,just stay away from LOCATION1 general I lived in London and worked all over it for several years,2,1,,,,3088,LOCATION1 general is just so fashionable and cool : ),1,0,,,189,,
2635,The proposed north-south cross-river tramway between LOCATION2 and LOCATION1 transit location is also in doubt Central London used to be run entirely on trams many decades ago,1,0,,,,3101,Not cheap but a good selection of bars and clubs with nearby LOCATION1 price also providing good places to go for a drink,1,2,,,191,,
2636,"If you are poor , you might live in LOCATION1 general",2,0,,,,3111,"LOCATION1 transit location has a large choice of parks and is close to LOCATION1 , good shops ,",1,0,,,192,,
2637,"If you are poor , you might live in LOCATION1 price",0,1,,,,3119,LOCATION1 transit location is more leafy and near LOCATION2 - quite nice,0,1,,,193,,
2660,LOCATION1 general is nothing special but like all of London it is expensive,2,0,,,,3150,there are loads of pick pockets down the LOCATION1 safety,0,2,,,195,,
2679,"LOCATION1 transit location is lovely , very cultured and artistic it 's down side ( which is also its best point ) is that it 's not near a tube station and you have to get a bus to the nearest ( LOCATION1 ) but this is also its advantage as it gets you away from the grot that usually surrounds a rube station",0,2,,,,3168,I live in LOCATION1 general my whole life which has a notorious reputation,0,2,,,197,,
2683,"LOCATION1 transit location hmmm mm , take the tube to the London then",1,0,,,,3176,"Check this out Just down the road you have LOCATION1 general , I lived there a few times and loved the place , but never could afford to buy",0,1,,,198,,
2728,I lived in LOCATION1 general for three years and I loved it,1,0,,,,3180,I ca n't recommend LOCATION1 general for affordability,2,0,,,199,,
2788,"I only know about LOCATION1 general , most people prefer LOCATION2 , but that 's because they are trendy and I 'm not",1,0,,,,3184,I only go to LOCATION1 general to IKEA - I find it depressing - so I do n't go anymore,0,2,,,#N/A,,
2799,"in LOCATION1 transit location , that way when you are going to and from LOCATION2 all you have to do is get on the train and not have to worry about getting across London on the Tube with your suitcases and risk delays and so on",1,0,,,,3199,if ur not driving you can get a train to LOCATION1 transit location station as well or get a bus,0,1,,,200,,
2852,"LOCATION1 general obviously , unless you enjoy commuting Anywhere nice in London is at least 250pw for a 1 bed flat plus bills",0,1,,,,3230,No Go nowhere near it LOCATION1 safety is horrible yes it is in fact i was there last weekend You ca n't really pick areas of London that are ` safe ' all the time,2,0,,,#N/A,,
2853,"LOCATION1 price obviously , unless you enjoy commuting Anywhere nice in London is at least 250pw for a 1 bed flat plus bills",2,0,,,,3304,LOCATION1 general is a bit shoddy a few beggars,0,2,,,#N/A,,
2864,Likewise LOCATION1 general and LOCATION2,1,0,,,,3324,"have a look round the 'poets corner ' part of LOCATION1 general ( few nice bars , getting quite trendy ) , you would get a bit more for your money",0,1,,,204,,
2872,LOCATION1 general is rough and quite nasty - I would not like to walk round there at night,2,0,,,,3325,"have a look round the 'poets corner ' part of LOCATION1 price ( few nice bars , getting quite trendy ) , you would get a bit more for your money",2,1,,,205,,
2900,i live LOCATION1 general sw too but id say head north- barfly is good as is most of Camden Town- try all up there,1,0,,,,3340,LOCATION1 general is nearer London and cheaper though not as nice,2,1,,,207,,
2932,"Also , in the back streets behind LOCATION1 general ( such as Goodge Street and Mortimer Street ) you can get a number of nice places with a more traditional feel , and these are usually a bit cheaper as well",0,1,,,,3368,"Also , you could go to LOCATION1 general ( `` trendy '' area of East End , full of pubs , clubs and other interesting things",0,1,,,#N/A,,
2987,"Green street will be easy to find your way round , but LOCATION1 transit location you may have to walk through a few roads sometimes",1,0,,,,3386,Afraid to go out LOCATION1 safety is a horrible place full of scum,0,2,,,208,,
2989,"T LOCATION1 price is not regarded as a very fashionable area , which keeps the property affordable",2,1,,,,3412,I have recently got a job in LOCATION1 general which I love and so would like to move to the area,1,0,,,209,,
3020,"I 'd stay away from LOCATION1 general , there are much nicer places to live",2,0,,,,3425,Nobody living in LOCATION1 price would have enough money or space to employ a nanny,2,0,,,210,,
3038,"LOCATION1 safety is supposed to be nice , I heard the traffic is murder though",2,0,,,,3432,"LOCATION1 general ( near by ) is my fave one in London ~ some vintage , some handmade , new designers , weird stuff ~ its brilliant",1,0,,,211,,
3088,LOCATION1 general is just so fashionable and cool : ),1,0,,,,3468,"Have a great time in LOCATION2 and LOCATION1 general You have to beware of scams , but it seems good",1,0,,,213,,
3095,This would increase the already saturated congestion especially between LOCATION1 transit location and LOCATION2,2,0,,,,3470,"Have a great time in LOCATION2 and LOCATION1 safety You have to beware of scams , but it seems good",0,2,,,215,,
3101,Not cheap but a good selection of bars and clubs with nearby LOCATION1 price also providing good places to go for a drink,1,2,,,,3514,"LOCATION1 safety is one of the cheaper areas as far as housing is concerned , It is a deprived area and high iLOCATION1",0,2,,,216,,
3111,"LOCATION1 transit location has a large choice of parks and is close to LOCATION1 , good shops ,",1,0,,,,3536,anywhere apart from LOCATION1 general lol,0,2,,,218,,
3119,LOCATION1 transit location is more leafy and near LOCATION2 - quite nice,0,1,,,,3552,LOCATION1 general is nice and reasonable to live,0,1,,,219,,
3143,"Are there any places that are nice and not too expensive , but also not way out in the outskirts ( i e LOCATION1 transit location , LOCATION2 , Biggin Hill , etc )",2,0,,,,3587,"LOCATION1 transit location is beautiful but in central London and in an area surrounded by lots of embassies , so has a more international feel to it",1,0,,,220,,
3150,there are loads of pick pockets down the LOCATION1 safety,0,2,,,,3600,Again these areas have nice parts/bad parts but again they are more cheap ( LOCATION1 general can be a bit expensive depending though ) and they can be a bit run down if you go to certain places,1,2,,,#N/A,,
3164,There are better places than LOCATION1 general to go hang out,0,2,,,,3607,The best half of LOCATION1 transit location is the side to the east and south of the town centre,1,0,,,#N/A,,
3168,I live in LOCATION1 general my whole life which has a notorious reputation,0,2,,,,3634,LOCATION1 safety Located in Zone 2 and quite centralised when it comes to working in the London but has a known reputation which will make grown men avoid that area at all times of the day,0,2,,,225,,
3176,"Check this out Just down the road you have LOCATION1 general , I lived there a few times and loved the place , but never could afford to buy",0,1,,,,3648,"I think I 'd like to live in LOCATION2 as I have heard quite a few good things about the areas , especially LOCATION1 general in particular",0,1,,,227,,
3180,I ca n't recommend LOCATION1 general for affordability,2,0,,,,3656,It is true that there are some very rough areas not too far away LOCATION1 general in particular is notorious,2,0,,,228,,
3199,if ur not driving you can get a train to LOCATION1 transit location station as well or get a bus,2,1,,,,3680,"If it is in your budget then LOCATION1 general , near LOCATION1 may be your choice",0,1,,,230,,
3223,So remember to get off on LOCATION1 transit location when you 're on the tube,1,0,,,,3681,"If it is in your budget then LOCATION1 price , near LOCATION1 may be your choice",0,2,,,231,,
3243,You wo n't have much time left after travelling from the airport to LOCATION1 transit location,2,0,,,,3691,An additional point : LOCATION1 transit location tube station is a great one to be near,1,0,,,232,,
3300,"If you miss your countrymen , then I think that LOCATION1 general is the place to be",1,0,,,,3720,"Then I would say , go for LOCATION1 general , save some cash",1,0,,,233,,
3324,"have a look round the 'poets corner ' part of LOCATION1 general ( few nice bars , getting quite trendy ) , you would get a bit more for your money",0,1,,,,3721,"Then I would say , go for LOCATION1 price , save some cash",2,1,,,234,,
3325,"have a look round the 'poets corner ' part of LOCATION1 price ( few nice bars , getting quite trendy ) , you would get a bit more for your money",2,1,,,,3738,"If you do n't like 'Dangerous ' places , I really recommend not moving to LOCATION1 safety",2,0,,,236,,
3332,"LOCATION1 general is huge , and it 's a really nice place to have a picnic or maybe feed the ducks in the river",1,0,,,,3740,LOCATION1 general area is cool,0,1,,,#N/A,,
3340,LOCATION1 general is nearer London and cheaper though not as nice,2,1,,,,3765,"If I had the dough , I 'd opt for LOCATION1 price , ( where me girlfriend comes from )",0,2,,,237,,
3386,Afraid to go out LOCATION1 safety is a horrible place full of scum,0,2,,,,3791,"LOCATION1 transit location is not a `` London `` in itself , it is simply a town within the north-east surburbs of London",0,2,,,238,,
3412,I have recently got a job in LOCATION1 general which I love and so would like to move to the area,1,0,,,,3836,"Please , LOCATION1 general is not the most luxurious place , but it does not have riots every week",0,1,,,240,,
3425,Nobody living in LOCATION1 price would have enough money or space to employ a nanny,2,0,,,,3837,"Please , LOCATION1 price is not the most luxurious place , but it does not have riots every week",1,0,,,241,,
3432,"LOCATION1 general ( near by ) is my fave one in London ~ some vintage , some handmade , new designers , weird stuff ~ its brilliant",1,0,,,,3845,"LOCATION1 price area , more posh and a better quality of living than in LOCATION2",1,2,,,#N/A,,
3466,"Next to me in LOCATION1 safety ahh , possibly a stalker",2,0,,,,3852,"But the two areas you have mentioned LOCATION2 and LOCATION1 general , depending on what parts you go to are no worse than other parts of London and in some ways are among the safer areas the Metropolis that is London",2,0,,,#N/A,,
3468,"Have a great time in LOCATION2 and LOCATION1 general You have to beware of scams , but it seems good",1,0,,,,3871,"I live in LOCATION1 transit location , in a nice house and with 2 nice cars",1,0,,,#N/A,,
3469,"Have a great time in LOCATION2 and LOCATION1 price You have to beware of scams , but it seems good",2,0,,,,3880,Now I am a 16 year old living in LOCATION1 general and I absolutly love it,1,0,,,245,,
3470,"Have a great time in LOCATION2 and LOCATION1 safety You have to beware of scams , but it seems good",0,2,,,,3890,"Do n't live in LOCATION1 safety , unless you want to mobed while doing your grocery shopping",0,2,,,#N/A,,
3514,"LOCATION1 safety is one of the cheaper areas as far as housing is concerned , It is a deprived area and high iLOCATION1",0,2,,,,3908,"A little flat in LOCATION1 general will be very nice , but will cost you a good deal of money",1,0,,,246,,
3524,( LOCATION1 general and LOCATION2 ),1,0,,,,3927,i would avoid LOCATION1 transit location as the rates there can be almost just as expensive as Central London,2,0,,,#N/A,,
3536,anywhere apart from LOCATION1 general lol,0,2,,,,3948,LOCATION1 general is very near LOCATION2 as well and I have heard good things about that area as well,0,1,,,249,,
3552,LOCATION1 general is nice and reasonable to live,0,1,,,,3980,"Do n't go to LOCATION1 general , I lived there for 3 years , it 's horrible",2,0,,,250,,
3587,"LOCATION1 transit location is beautiful but in central London and in an area surrounded by lots of embassies , so has a more international feel to it",1,0,,,,3994,The dodgier part of LOCATION1 safety should be avoided,0,2,,,#N/A,,
3601,Again these areas have nice parts/bad parts but again they are more cheap ( LOCATION1 price can be a bit expensive depending though ) and they can be a bit run down if you go to certain places,1,2,,,,4020,I use to live in LOCATION1 general and personally LOVED it,1,0,,,251,,
3604,The best half of LOCATION1 general is the side to the east and south of the town centre,1,0,,,,4064,LOCATION1 general is nice but youd need to look around for a decent priced place to live Wherever they can afford to,1,0,,,252,,
3622,"lots of nightlife in The LOCATION1 safety area , it really buzzes in the evenings rental accommodation is quite pricey around that area but I personally would find it a bit claustrophobic to live in",2,0,,,,4136,LOCATION1 general itself is fine during the day but I would make sure you do n't hang around at night as it can be a little scary,1,0,,,254,,
3631,"LOCATION1 transit location is a very wealthy area in Central London , but regardless of that , its a residential area nontheless , so you will get quite a few quiet roads",0,1,,,,4144,"The nicer bits , like LOCATION1 general are very expensive",0,1,,,255,,
3634,LOCATION1 safety Located in Zone 2 and quite centralised when it comes to working in the London but has a known reputation which will make grown men avoid that area at all times of the day,0,2,,,,4166,LOCATION1 safety is OK too who knows where is safe nowdays,1,0,,,257,,
3635,LOCATION1 transit location Located in Zone 2 and quite centralised when it comes to working in the London but has a known reputation which will make grown men avoid that area at all times of the day,0,1,,,,4186,c LOCATION1 safety has some nasty shits who live their and would not think twice of sticking you for your phone,0,2,,,258,,
3648,"I think I 'd like to live in LOCATION2 as I have heard quite a few good things about the areas , especially LOCATION1 general in particular",0,1,,,,4188,LOCATION1 general is having lots of money thrown at it right now,0,1,,,259,,
3656,It is true that there are some very rough areas not too far away LOCATION1 general in particular is notorious,2,0,,,,4189,LOCATION1 price is having lots of money thrown at it right now,2,0,,,#N/A,,
3663,"Bear in mind that some areas are convenient for the London , and some areas are convenient for LOCATION1 transit location , but very few areas are convenient for both",1,0,,,,4192,theres a couple good places in LOCATION1 general but not great,2,0,,,260,,
3680,"If it is in your budget then LOCATION1 general , near LOCATION1 may be your choice",0,1,,,,4212,I would n't say the LOCATION1 general is a hole like the other person did,2,1,,,261,,
3681,"If it is in your budget then LOCATION1 price , near LOCATION1 may be your choice",1,2,,,,4218,I like the suburbs because it has less crime and not as many people ( but still busy enough ) LOCATION1 safety which is in the outskirts of London is nice,1,0,,,262,,
3691,An additional point : LOCATION1 transit location tube station is a great one to be near,1,0,,,,4242,LOCATION1 safety is a s t hole stay clear unless your a drug dealer or addict I moved from there only 9 months ago and never looked back,2,0,,,263,,
3720,"Then I would say , go for LOCATION1 general , save some cash",1,0,,,,4252,If I had the choice I would live just north of LOCATION1 general which has some very nice areas and also has easy access to LOCATION2,1,0,,,265,,
3721,"Then I would say , go for LOCATION1 price , save some cash",2,1,,,,4258,I have a friend that wants me to go there and visit but being a Caucasian male i am dubious Does LOCATION1 safety or LOCATION2 have problems with violence,2,0,,,266,,
3736,"If you do n't like 'Dangerous ' places , I really recommend not moving to LOCATION1 general",2,0,,,,4264,"I 've stayed near LOCATION1 general and it 's wonderfulclose to the center of town , extraordinarily pleasant to wander around at night , etc",0,1,,,#N/A,,
3738,"If you do n't like 'Dangerous ' places , I really recommend not moving to LOCATION1 safety",2,0,,,,4292,I 've recently moved away from LOCATION1 general and miss it like you would n't believe,2,1,,,#N/A,,
3765,"If I had the dough , I 'd opt for LOCATION1 price , ( where me girlfriend comes from )",0,2,,,,4300,Last year i lived in LOCATION1 general and it was pretty rubbish,2,0,,,267,,
3791,"LOCATION1 transit location is not a `` London `` in itself , it is simply a town within the north-east surburbs of London",0,2,,,,4317,LOCATION1 price also has great transport links to the centre of London and the London There 's not really a class divide in areas of London - you will find the very rich and the very poor living very close together,2,0,,,268,,
3796,My favourite place to drink and party in LOCATION1 general is Proud,1,0,,,,4320,my grandparents lived in LOCATION1 general for a long time and it was very boring,0,2,,,269,,
3836,"Please , LOCATION1 general is not the most luxurious place , but it does not have riots every week",0,1,,,,4339,LOCATION1 transit location is a similar walking distance away,1,0,,,271,,
3837,"Please , LOCATION1 price is not the most luxurious place , but it does not have riots every week",2,0,,,,4348,despite being out of the London there will be plenty of trains to commute to work LOCATION1 general LOCATION1 Village is very upmarket and many artists live there,1,0,,,272,,
3840,LOCATION1 general is a very modern featureless upmarket development interspersed with run down areas and is not a great place to live,1,2,,,,4351,despite being out of the London there will be plenty of trains to commute to work LOCATION1 transit location LOCATION1 Village is very upmarket and many artists live there,1,0,,,273,,
3854,"But the two areas you have mentioned LOCATION2 and LOCATION1 safety , depending on what parts you go to are no worse than other parts of London and in some ways are among the safer areas the Metropolis that is London",1,0,,,,4353,"LOCATION1 price is a bit rough round the edges , but use your common sense and do n't flash your expensive belongings around the council estates late at night and you will be fine Well , you could say it gets dangerously full of drunken students on Friday and Saturday night but apart from that it is no more dangerous than any other part of London",2,0,,,274,,
3856,"by the 20s , LOCATION1 general was a very bohemian area , w artists and actors",1,0,,,,4354,"LOCATION1 safety is a bit rough round the edges , but use your common sense and do n't flash your expensive belongings around the council estates late at night and you will be fine Well , you could say it gets dangerously full of drunken students on Friday and Saturday night but apart from that it is no more dangerous than any other part of London",1,2,,,#N/A,,
3880,Now I am a 16 year old living in LOCATION1 general and I absolutly love it,1,0,,,,4364,You will be fine in LOCATION1 general as long as you use your common sense,1,0,,,275,,
3908,"A little flat in LOCATION1 general will be very nice , but will cost you a good deal of money",1,0,,,,4366,You will be fine in LOCATION1 safety as long as you use your common sense,0,1,,,276,,
3935,You can get a bus from LOCATION2 to LOCATION1 transit location corner in 15 minutes,1,0,,,,4375,"rush hour traffic in LOCATION1 transit location is AWFUL , id recommend leaving ur house to go to work BEFORE 7am",1,2,,,#N/A,,
3945,I dont have much money so I am obviously not going to be moving to LOCATION1 price,0,2,,,,4425,"the highly paid jobs tend to be in the LOCATION1 price ( with an average salary of around 100,000 )",2,0,,,277,,
3948,LOCATION1 general is very near LOCATION2 as well and I have heard good things about that area as well,0,1,,,,4428,Avoid LOCATION1 general to the south without a knife proof vest Thinking of moving to London,2,0,,,#N/A,,
3980,"Do n't go to LOCATION1 general , I lived there for 3 years , it 's horrible",2,0,,,,4444,"I 'll be bias , I live in LOCATION1 general , live there all my life and I would pick LOCATION1",0,1,,,278,,
4020,I use to live in LOCATION1 general and personally LOVED it,1,0,,,,4451,LOCATION1 transit location is hardly London - that poster above is just one of those trendy too-cool-for-school types - there is life beyond LOCATION1,0,2,,,279,,
4064,LOCATION1 general is nice but youd need to look around for a decent priced place to live Wherever they can afford to,1,0,,,,4481,"You can if you wear a wet suit LOCATION1 price is OK if you want to live and work in London , as a low paid Social Worker for the rest of your life",2,0,,,#N/A,,
4080,I think I 'd like to live in LOCATION1 general because it 's a nice area with a village atmosphere on the Northern line so it 's easy to get to LOCATION1,0,1,,,,4489,the most cheapest area are the worst you should live LOCATION1 price,1,0,,,282,,
4136,LOCATION1 general itself is fine during the day but I would make sure you do n't hang around at night as it can be a little scary,1,0,,,,4508,"LOCATION1 general is very nice and safe , its in zone 5 and it takes about 45 mins to get into central London",1,0,,,283,,
4144,"The nicer bits , like LOCATION1 general are very expensive",0,1,,,,4539,"If you were to look at your `` one hour '' limit in terms of time rather than distance , you can get a long way from LOCATION2 or LOCATION1 transit location stations in an hour and live a bit further out",2,0,,,#N/A,,
4149,You could possibly try to compare rent prices between flats in LOCATION1 price and LOCATION2 and other boroughs in the west of London,1,0,,,,4554,"If it was the side closer to LOCATION1 safety , I would not accept as I know it can be dangerous there",1,2,,,#N/A,,
4166,LOCATION1 safety is OK too who knows where is safe nowdays,1,0,,,,4564,Top end of LOCATION2 is just a few minutes walk from the lovely area that is LOCATION1 general ( the Parliament Hill end ),0,1,,,#N/A,,
4186,c LOCATION1 safety has some nasty shits who live their and would not think twice of sticking you for your phone,0,2,,,,4610,"Pretty safe area too Parts of LOCATION1 safety are less than lovely , especially around the Shopping London , however as you move backwards down Station Road towards the LOCATION2 some of it is quite nice , especially around the train station",1,0,,,286,,
4188,LOCATION1 general is having lots of money thrown at it right now,0,1,,,,4624,is your best bet Enter your requirements on am thinking of LOCATION2 and preferably near LOCATION1 general,0,1,,,288,,
4192,theres a couple good places in LOCATION1 general but not great,2,0,,,,4644,I really ca n't think of anything interesting to do in LOCATION1 general - and I live not far from it,0,2,,,290,,
4212,I would n't say the LOCATION1 general is a hole like the other person did,2,1,,,,4680,"LOCATION1 general and LOCATION2 Sorry , but it depends on the colour of your skin",2,0,,,#N/A,,
4218,I like the suburbs because it has less crime and not as many people ( but still busy enough ) LOCATION1 safety which is in the outskirts of London is nice,1,0,,,,4703,"LOCATION1 transit location , LOCATION2 , there are literally dozens of areas Do n't restrict yourself to the Tube Network",2,0,,,291,,
4242,LOCATION1 safety is a s t hole stay clear unless your a drug dealer or addict I moved from there only 9 months ago and never looked back,2,0,,,,4704,"LOCATION1 general area , quite a bit of industry",0,2,,,292,,
4249,"You are looking at a minimum of about 100,000 in LOCATION1 price for a 1 bed flat",1,0,,,,4727,Try a place called LOCATION1 transit location 20 mins by train from London LOCATION2,0,1,,,294,,
4252,If I had the choice I would live just north of LOCATION1 general which has some very nice areas and also has easy access to LOCATION2,1,0,,,,4756,Could someone please tell me if they think LOCATION1 general would match what I am looking for or suggest any other areas,1,0,,,#N/A,,
4258,I have a friend that wants me to go there and visit but being a Caucasian male i am dubious Does LOCATION1 safety or LOCATION2 have problems with violence,2,0,,,,4798,From what I understand LOCATION1 safety is the safest and trendiest area,1,0,,,297,,
4300,Last year i lived in LOCATION1 general and it was pretty rubbish,2,0,,,,4843,I work at LOCATION1 transit location Wharf but normally travel by motorbike,1,0,,,#N/A,,
4317,LOCATION1 price also has great transport links to the centre of London and the London There 's not really a class divide in areas of London - you will find the very rich and the very poor living very close together,2,0,,,,4864,"you could also try LOCATION1 general , tho its certainly a bit posher-boho",1,0,,,299,,
