Sum of label_val	Column Labels								
Row Labels	LOCATION1#general	LOCATION1#price	LOCATION1#safety	LOCATION1#transit	LOCATION2#general	LOCATION2#price	LOCATION2#safety	LOCATION2#transit	Grand Total
 LOCATION1 transit location  can be fun				0					0
377	0	0	0	0	0	0	0	0	0
From North  LOCATION1 general  to LOCATION2 ( also the London ) it 's 16 minutes by train	0								0
From North  LOCATION1 price  to LOCATION2 ( also the London ) it 's 16 minutes by train		0							0
From North  LOCATION1 safety  to LOCATION2 ( also the London ) it 's 16 minutes by train			0						0
From North  LOCATION1 transit location  to LOCATION2 ( also the London ) it 's 16 minutes by train				0					0
From North LOCATION1 to  LOCATION2 general  ( also the London ) it 's 16 minutes by train					0				0
From North LOCATION1 to  LOCATION2 price  ( also the London ) it 's 16 minutes by train						0			0
From North LOCATION1 to  LOCATION2 safety  ( also the London ) it 's 16 minutes by train							0		0
From North LOCATION1 to  LOCATION2 transit location  ( also the London ) it 's 16 minutes by train								0	0
378	0	0	0	0					0
"Illegitimate children were very often given up for fostering , and if this were the case you may be lucky enough to find some reference within the Quarter Session records ( including Poor Law Union records ) , which for  LOCATION1 general  at that time are held at the London Metropolitan Archives"	0								0
"Illegitimate children were very often given up for fostering , and if this were the case you may be lucky enough to find some reference within the Quarter Session records ( including Poor Law Union records ) , which for  LOCATION1 price  at that time are held at the London Metropolitan Archives"		0							0
"Illegitimate children were very often given up for fostering , and if this were the case you may be lucky enough to find some reference within the Quarter Session records ( including Poor Law Union records ) , which for  LOCATION1 safety  at that time are held at the London Metropolitan Archives"			0						0
"Illegitimate children were very often given up for fostering , and if this were the case you may be lucky enough to find some reference within the Quarter Session records ( including Poor Law Union records ) , which for  LOCATION1 transit location  at that time are held at the London Metropolitan Archives"				0					0
379	0	0	0	0					0
It is in  LOCATION1 general 	0								0
It is in  LOCATION1 price 		0							0
It is in  LOCATION1 safety 			0						0
It is in  LOCATION1 transit location 				0					0
380	1	0	0	1					2
I Live in  LOCATION1 general  which is close to the center of town and is very nice in my opinion	1								1
I Live in  LOCATION1 price  which is close to the center of town and is very nice in my opinion		0							0
I Live in  LOCATION1 safety  which is close to the center of town and is very nice in my opinion			0						0
I Live in  LOCATION1 transit location  which is close to the center of town and is very nice in my opinion				1					1
381	0	0	0	0					0
There were a number of camps in London but not at or near  LOCATION1 general  as far as I can see	0								0
There were a number of camps in London but not at or near  LOCATION1 price  as far as I can see		0							0
There were a number of camps in London but not at or near  LOCATION1 safety  as far as I can see			0						0
There were a number of camps in London but not at or near  LOCATION1 transit location  as far as I can see				0					0
382	0	0	0	1					1
 LOCATION1 general  ( commuter hub to the London )	0								0
 LOCATION1 price  ( commuter hub to the London )		0							0
 LOCATION1 safety  ( commuter hub to the London )			0						0
 LOCATION1 transit location  ( commuter hub to the London )				1					1
383	0	0	0	0					0
" LOCATION1 general  , middex"	0								0
" LOCATION1 price  , middex"		0							0
" LOCATION1 safety  , middex"			0						0
" LOCATION1 transit location  , middex"				0					0
384	1	0	0	0					1
"Anyway , London is huge but  LOCATION1 general  is probably your best bet"	1								1
"Anyway , London is huge but  LOCATION1 price  is probably your best bet"		0							0
"Anyway , London is huge but  LOCATION1 safety  is probably your best bet"			0						0
"Anyway , London is huge but  LOCATION1 transit location  is probably your best bet"				0					0
385	0	0	0	0					0
"Also , when the Jubilee Line is closed it 's just a quick , frequent bus ride to  LOCATION1 general  for the Northern Line ( zone 3 )"	0								0
"Also , when the Jubilee Line is closed it 's just a quick , frequent bus ride to  LOCATION1 price  for the Northern Line ( zone 3 )"		0							0
"Also , when the Jubilee Line is closed it 's just a quick , frequent bus ride to  LOCATION1 safety  for the Northern Line ( zone 3 )"			0						0
"Also , when the Jubilee Line is closed it 's just a quick , frequent bus ride to  LOCATION1 transit location  for the Northern Line ( zone 3 )"				0					0
386	0	0	0	0					0
I am a 16 year old girl and I am moving to  LOCATION1 general  in a month with my mum and sister	0								0
I am a 16 year old girl and I am moving to  LOCATION1 price  in a month with my mum and sister		0							0
I am a 16 year old girl and I am moving to  LOCATION1 safety  in a month with my mum and sister			0						0
I am a 16 year old girl and I am moving to  LOCATION1 transit location  in a month with my mum and sister				0					0
387	-1	0	-1	0					-2
"Other than that  LOCATION1 general  is pretty bad , the housings grim and theres a high crime rate A lot depends upon what you mean by worst area"	-1								-1
"Other than that  LOCATION1 price  is pretty bad , the housings grim and theres a high crime rate A lot depends upon what you mean by worst area"		0							0
"Other than that  LOCATION1 safety  is pretty bad , the housings grim and theres a high crime rate A lot depends upon what you mean by worst area"			-1						-1
"Other than that  LOCATION1 transit location  is pretty bad , the housings grim and theres a high crime rate A lot depends upon what you mean by worst area"				0					0
388	0	0	0	0					0
Thing is ive lived in  LOCATION1 general  most of my life	0								0
Thing is ive lived in  LOCATION1 price  most of my life		0							0
Thing is ive lived in  LOCATION1 safety  most of my life			0						0
Thing is ive lived in  LOCATION1 transit location  most of my life				0					0
389	0	0	0	1					1
We are staying near  LOCATION1 general  so can get to anywhere central easily	0								0
We are staying near  LOCATION1 price  so can get to anywhere central easily		0							0
We are staying near  LOCATION1 safety  so can get to anywhere central easily			0						0
We are staying near  LOCATION1 transit location  so can get to anywhere central easily				1					1
390	1	0	0	0					1
"If I were personally buying a property in London , I would probably go for  LOCATION1 general  as it is a great area , always in demand"	1								1
"If I were personally buying a property in London , I would probably go for  LOCATION1 price  as it is a great area , always in demand"		0							0
"If I were personally buying a property in London , I would probably go for  LOCATION1 safety  as it is a great area , always in demand"			0						0
"If I were personally buying a property in London , I would probably go for  LOCATION1 transit location  as it is a great area , always in demand"				0					0
391	1	0	0	0					1
I now live in  LOCATION1 general  and much prefer it At the moment I live in LOCATION1	1								1
I now live in  LOCATION1 price  and much prefer it At the moment I live in LOCATION1		0							0
I now live in  LOCATION1 safety  and much prefer it At the moment I live in LOCATION1			0						0
I now live in  LOCATION1 transit location  and much prefer it At the moment I live in LOCATION1				0					0
392	0	0	0	0	0	0	0	0	0
ENJOY YOUR STAY AND ENJOY  LOCATION2 general  AND LOCATION1					0				0
ENJOY YOUR STAY AND ENJOY  LOCATION2 price  AND LOCATION1						0			0
ENJOY YOUR STAY AND ENJOY  LOCATION2 safety  AND LOCATION1							0		0
ENJOY YOUR STAY AND ENJOY  LOCATION2 transit location  AND LOCATION1								0	0
ENJOY YOUR STAY AND ENJOY LOCATION2 AND  LOCATION1 general 	0								0
ENJOY YOUR STAY AND ENJOY LOCATION2 AND  LOCATION1 price 		0							0
ENJOY YOUR STAY AND ENJOY LOCATION2 AND  LOCATION1 safety 			0						0
ENJOY YOUR STAY AND ENJOY LOCATION2 AND  LOCATION1 transit location 				0					0
393	1	0	0	1					2
 LOCATION1 general  is the world biggest railway station and has a great atmosphere surrounding it but mind the gap	1								1
 LOCATION1 price  is the world biggest railway station and has a great atmosphere surrounding it but mind the gap		0							0
 LOCATION1 safety  is the world biggest railway station and has a great atmosphere surrounding it but mind the gap			0						0
 LOCATION1 transit location  is the world biggest railway station and has a great atmosphere surrounding it but mind the gap				1					1
394	0	0	0	0					0
 LOCATION1 general  has an arts and exhibition centre I 'd go for LOCATION1 for having fun but I would n't live there	0								0
 LOCATION1 price  has an arts and exhibition centre I 'd go for LOCATION1 for having fun but I would n't live there		0							0
 LOCATION1 safety  has an arts and exhibition centre I 'd go for LOCATION1 for having fun but I would n't live there			0						0
 LOCATION1 transit location  has an arts and exhibition centre I 'd go for LOCATION1 for having fun but I would n't live there				0					0
395	1	0	0	0					1
"It also depends on how far you need to travel for work , not that that 's much of an issue in London  LOCATION1 general  is undoubtedly the nicest area , but im prob a bit biased"	1								1
"It also depends on how far you need to travel for work , not that that 's much of an issue in London  LOCATION1 price  is undoubtedly the nicest area , but im prob a bit biased"		0							0
"It also depends on how far you need to travel for work , not that that 's much of an issue in London  LOCATION1 safety  is undoubtedly the nicest area , but im prob a bit biased"			0						0
"It also depends on how far you need to travel for work , not that that 's much of an issue in London  LOCATION1 transit location  is undoubtedly the nicest area , but im prob a bit biased"				0					0
396	1	0	0	0					1
 LOCATION1 general  has more `` character ``	1								1
 LOCATION1 price  has more `` character ``		0							0
 LOCATION1 safety  has more `` character ``			0						0
 LOCATION1 transit location  has more `` character ``				0					0
397	1	0	0	0	0	0	0	0	1
I would prob have to say that  LOCATION1 general  is nicer - LOCATION2 is too boxy	1								1
I would prob have to say that  LOCATION1 price  is nicer - LOCATION2 is too boxy		0							0
I would prob have to say that  LOCATION1 safety  is nicer - LOCATION2 is too boxy			0						0
I would prob have to say that  LOCATION1 transit location  is nicer - LOCATION2 is too boxy				0					0
I would prob have to say that LOCATION1 is nicer -  LOCATION2 general  is too boxy					0				0
I would prob have to say that LOCATION1 is nicer -  LOCATION2 price  is too boxy						0			0
I would prob have to say that LOCATION1 is nicer -  LOCATION2 safety  is too boxy							0		0
I would prob have to say that LOCATION1 is nicer -  LOCATION2 transit location  is too boxy								0	0
398	0	0	0	0					0
There is  LOCATION1 general  mosque and the LMC ( London muslim centre ) too	0								0
There is  LOCATION1 price  mosque and the LMC ( London muslim centre ) too		0							0
There is  LOCATION1 safety  mosque and the LMC ( London muslim centre ) too			0						0
There is  LOCATION1 transit location  mosque and the LMC ( London muslim centre ) too				0					0
399	0	0	0	0					0
"Fuller 's is a real London brewery based in  LOCATION1 general  in west London , hence the name"	0								0
"Fuller 's is a real London brewery based in  LOCATION1 price  in west London , hence the name"		0							0
"Fuller 's is a real London brewery based in  LOCATION1 safety  in west London , hence the name"			0						0
"Fuller 's is a real London brewery based in  LOCATION1 transit location  in west London , hence the name"				0					0
400	1	0	-1	0					0
 LOCATION1 general  is slightly dodgier but more energetic and edgy	1								1
 LOCATION1 price  is slightly dodgier but more energetic and edgy		0							0
 LOCATION1 safety  is slightly dodgier but more energetic and edgy			-1						-1
 LOCATION1 transit location  is slightly dodgier but more energetic and edgy				0					0
401	1	0	0	0					1
 LOCATION1 general  is a good place	1								1
 LOCATION1 price  is a good place		0							0
 LOCATION1 safety  is a good place			0						0
 LOCATION1 transit location  is a good place				0					0
402	0	0	0	0					0
" LOCATION1 general  's a bit characterless for the most part , and cut up with major arterial roads"	0								0
" LOCATION1 price  's a bit characterless for the most part , and cut up with major arterial roads"		0							0
" LOCATION1 safety  's a bit characterless for the most part , and cut up with major arterial roads"			0						0
" LOCATION1 transit location  's a bit characterless for the most part , and cut up with major arterial roads"				0					0
403					0	0	0	0	0
"I was thinking about going to find a flat to share in the  LOCATION2 general  , LOCATION1t"					0				0
"I was thinking about going to find a flat to share in the  LOCATION2 price  , LOCATION1t"						0			0
"I was thinking about going to find a flat to share in the  LOCATION2 safety  , LOCATION1t"							0		0
"I was thinking about going to find a flat to share in the  LOCATION2 transit location  , LOCATION1t"								0	0
404	0	0	0	0					0
 LOCATION1 general  you can take the tube ( cheapest ) or LOCATION1 Connect train which is more expensive	0								0
 LOCATION1 price  you can take the tube ( cheapest ) or LOCATION1 Connect train which is more expensive		0							0
 LOCATION1 safety  you can take the tube ( cheapest ) or LOCATION1 Connect train which is more expensive			0						0
 LOCATION1 transit location  you can take the tube ( cheapest ) or LOCATION1 Connect train which is more expensive				0					0
405	0	0	0	0					0
"I 've seen breeders with puppies in  LOCATION1 general  , Daventry , 3 in Kent and one in St Neots - and that was just the first page"	0								0
"I 've seen breeders with puppies in  LOCATION1 price  , Daventry , 3 in Kent and one in St Neots - and that was just the first page"		0							0
"I 've seen breeders with puppies in  LOCATION1 safety  , Daventry , 3 in Kent and one in St Neots - and that was just the first page"			0						0
"I 've seen breeders with puppies in  LOCATION1 transit location  , Daventry , 3 in Kent and one in St Neots - and that was just the first page"				0					0
406	0	0	0	0					0
All  LOCATION1 general  of London are free and are open to the public from dawn to dusk most days	0								0
All  LOCATION1 price  of London are free and are open to the public from dawn to dusk most days		0							0
All  LOCATION1 safety  of London are free and are open to the public from dawn to dusk most days			0						0
All  LOCATION1 transit location  of London are free and are open to the public from dawn to dusk most days				0					0
407	0	0	0	0					0
North of the river and within the inner ring road the most likely answer will be the district between  LOCATION1 general  Road and London Road	0								0
North of the river and within the inner ring road the most likely answer will be the district between  LOCATION1 price  Road and London Road		0							0
North of the river and within the inner ring road the most likely answer will be the district between  LOCATION1 safety  Road and London Road			0						0
North of the river and within the inner ring road the most likely answer will be the district between  LOCATION1 transit location  Road and London Road				0					0
408	0	-1	0	0					-1
already looked in  LOCATION1 general  and can not afford it	0								0
already looked in  LOCATION1 price  and can not afford it		-1							-1
already looked in  LOCATION1 safety  and can not afford it			0						0
already looked in  LOCATION1 transit location  and can not afford it				0					0
409	0	0	0	0	0	0	0	0	0
 LOCATION1 general  is more leafy suburb - very nice and possibly a bit cheaper then LOCATION2 but only about 10 mins away by train	0								0
 LOCATION1 price  is more leafy suburb - very nice and possibly a bit cheaper then LOCATION2 but only about 10 mins away by train		0							0
 LOCATION1 safety  is more leafy suburb - very nice and possibly a bit cheaper then LOCATION2 but only about 10 mins away by train			0						0
 LOCATION1 transit location  is more leafy suburb - very nice and possibly a bit cheaper then LOCATION2 but only about 10 mins away by train				0					0
LOCATION1 is more leafy suburb - very nice and possibly a bit cheaper then  LOCATION2 general  but only about 10 mins away by train					0				0
LOCATION1 is more leafy suburb - very nice and possibly a bit cheaper then  LOCATION2 price  but only about 10 mins away by train						0			0
LOCATION1 is more leafy suburb - very nice and possibly a bit cheaper then  LOCATION2 safety  but only about 10 mins away by train							0		0
LOCATION1 is more leafy suburb - very nice and possibly a bit cheaper then  LOCATION2 transit location  but only about 10 mins away by train								0	0
410	0	0	0	0					0
"If you mean flying from the US , then it 's basically only  LOCATION1 general  and Gatwick that handle long-haul flights"	0								0
"If you mean flying from the US , then it 's basically only  LOCATION1 price  and Gatwick that handle long-haul flights"		0							0
"If you mean flying from the US , then it 's basically only  LOCATION1 safety  and Gatwick that handle long-haul flights"			0						0
"If you mean flying from the US , then it 's basically only  LOCATION1 transit location  and Gatwick that handle long-haul flights"				0					0
411	0	0	0	0	0	0	0	0	0
I do n't know much about  LOCATION2 general  or LOCATION1					0				0
I do n't know much about  LOCATION2 price  or LOCATION1						0			0
I do n't know much about  LOCATION2 safety  or LOCATION1							0		0
I do n't know much about  LOCATION2 transit location  or LOCATION1								0	0
I do n't know much about LOCATION2 or  LOCATION1 general 	0								0
I do n't know much about LOCATION2 or  LOCATION1 price 		0							0
I do n't know much about LOCATION2 or  LOCATION1 safety 			0						0
I do n't know much about LOCATION2 or  LOCATION1 transit location 				0					0
412	0	0	0	0	0	0	0	0	0
London in general includes areas like  LOCATION2 general  and LOCATION1					0				0
London in general includes areas like  LOCATION2 price  and LOCATION1						0			0
London in general includes areas like  LOCATION2 safety  and LOCATION1							0		0
London in general includes areas like  LOCATION2 transit location  and LOCATION1								0	0
London in general includes areas like LOCATION2 and  LOCATION1 general 	0								0
London in general includes areas like LOCATION2 and  LOCATION1 price 		0							0
London in general includes areas like LOCATION2 and  LOCATION1 safety 			0						0
London in general includes areas like LOCATION2 and  LOCATION1 transit location 				0					0
413	1	-1	0	0					0
It 's actually quite good  LOCATION1 general  is a very very desirable area - amazing that you can afford to live there as a student	1								1
It 's actually quite good  LOCATION1 price  is a very very desirable area - amazing that you can afford to live there as a student		-1							-1
It 's actually quite good  LOCATION1 safety  is a very very desirable area - amazing that you can afford to live there as a student			0						0
It 's actually quite good  LOCATION1 transit location  is a very very desirable area - amazing that you can afford to live there as a student				0					0
414	1	0	0	0					1
"You have been sadly misinformed about  LOCATION1 general  , it is fantastic"	1								1
"You have been sadly misinformed about  LOCATION1 price  , it is fantastic"		0							0
"You have been sadly misinformed about  LOCATION1 safety  , it is fantastic"			0						0
"You have been sadly misinformed about  LOCATION1 transit location  , it is fantastic"				0					0
415	0	0	0	0					0
: )  LOCATION1 general  is a nice place to live	0								0
: )  LOCATION1 price  is a nice place to live		0							0
: )  LOCATION1 safety  is a nice place to live			0						0
: )  LOCATION1 transit location  is a nice place to live				0					0
416	0	0	0	0					0
( I know the nearest tube station to the place in wich I will live is  LOCATION1 general  ) Every information could be useful	0								0
( I know the nearest tube station to the place in wich I will live is  LOCATION1 price  ) Every information could be useful		0							0
( I know the nearest tube station to the place in wich I will live is  LOCATION1 safety  ) Every information could be useful			0						0
( I know the nearest tube station to the place in wich I will live is  LOCATION1 transit location  ) Every information could be useful				0					0
417	0	0	0	0					0
" LOCATION1 general  , but other 2 locations nearby"	0								0
" LOCATION1 price  , but other 2 locations nearby"		0							0
" LOCATION1 safety  , but other 2 locations nearby"			0						0
" LOCATION1 transit location  , but other 2 locations nearby"				0					0
418	1	0	0	0					1
I 'm not sure about the pubs or whether the people living there are mainly single or not though  LOCATION1 general  is fine	1								1
I 'm not sure about the pubs or whether the people living there are mainly single or not though  LOCATION1 price  is fine		0							0
I 'm not sure about the pubs or whether the people living there are mainly single or not though  LOCATION1 safety  is fine			0						0
I 'm not sure about the pubs or whether the people living there are mainly single or not though  LOCATION1 transit location  is fine				0					0
419	-1	1	0	0					0
You want cheap and bad try  LOCATION1 general 	-1								-1
You want cheap and bad try  LOCATION1 price 		1							1
You want cheap and bad try  LOCATION1 safety 			0						0
You want cheap and bad try  LOCATION1 transit location 				0					0
420	0	0	0	0					0
com i did a quick search using London 4 BR and  LOCATION1 general  in the keywords	0								0
com i did a quick search using London 4 BR and  LOCATION1 price  in the keywords		0							0
com i did a quick search using London 4 BR and  LOCATION1 safety  in the keywords			0						0
com i did a quick search using London 4 BR and  LOCATION1 transit location  in the keywords				0					0
421	1	0	0	0					1
the  LOCATION1 general  area is very good	1								1
the  LOCATION1 price  area is very good		0							0
the  LOCATION1 safety  area is very good			0						0
the  LOCATION1 transit location  area is very good				0					0
422	0	0	0	0					0
In  LOCATION1 general  we have tree-lined streets with large white-painted houses set back off the road behind iron railings just like in Oliver Twist and Mary Poppins lol	0								0
In  LOCATION1 price  we have tree-lined streets with large white-painted houses set back off the road behind iron railings just like in Oliver Twist and Mary Poppins lol		0							0
In  LOCATION1 safety  we have tree-lined streets with large white-painted houses set back off the road behind iron railings just like in Oliver Twist and Mary Poppins lol			0						0
In  LOCATION1 transit location  we have tree-lined streets with large white-painted houses set back off the road behind iron railings just like in Oliver Twist and Mary Poppins lol				0					0
423	0	0	0	0	0	0	0	0	0
From  LOCATION2 general  to LOCATION1 catch the X26 bus					0				0
From  LOCATION2 price  to LOCATION1 catch the X26 bus						0			0
From  LOCATION2 safety  to LOCATION1 catch the X26 bus							0		0
From  LOCATION2 transit location  to LOCATION1 catch the X26 bus								0	0
From LOCATION2 to  LOCATION1 general  catch the X26 bus	0								0
From LOCATION2 to  LOCATION1 price  catch the X26 bus		0							0
From LOCATION2 to  LOCATION1 safety  catch the X26 bus			0						0
From LOCATION2 to  LOCATION1 transit location  catch the X26 bus				0					0
424	0	0	0	0					0
Look round some of the fabtastic museums in  LOCATION1 general 	0								0
Look round some of the fabtastic museums in  LOCATION1 price 		0							0
Look round some of the fabtastic museums in  LOCATION1 safety 			0						0
Look round some of the fabtastic museums in  LOCATION1 transit location 				0					0
425	0	0	0	0					0
"If you are interested in the monarchy and the trappings of power ,  LOCATION1 general  is the place for you"	0								0
"If you are interested in the monarchy and the trappings of power ,  LOCATION1 price  is the place for you"		0							0
"If you are interested in the monarchy and the trappings of power ,  LOCATION1 safety  is the place for you"			0						0
"If you are interested in the monarchy and the trappings of power ,  LOCATION1 transit location  is the place for you"				0					0
426	0	0	0	0					0
 LOCATION1 general  has plenty of food places	0								0
 LOCATION1 price  has plenty of food places		0							0
 LOCATION1 safety  has plenty of food places			0						0
 LOCATION1 transit location  has plenty of food places				0					0
427	0	0	0	0					0
I happen to live on the north west edge in a suburb called  LOCATION1 general 	0								0
I happen to live on the north west edge in a suburb called  LOCATION1 price 		0							0
I happen to live on the north west edge in a suburb called  LOCATION1 safety 			0						0
I happen to live on the north west edge in a suburb called  LOCATION1 transit location 				0					0
428	0	0	0	0					0
"Some very small parts are actually inside The London itself ( rather than Tower Hamlets ) like Gravel Lane , Widegate Street and part of  LOCATION1 general  Street"	0								0
"Some very small parts are actually inside The London itself ( rather than Tower Hamlets ) like Gravel Lane , Widegate Street and part of  LOCATION1 price  Street"		0							0
"Some very small parts are actually inside The London itself ( rather than Tower Hamlets ) like Gravel Lane , Widegate Street and part of  LOCATION1 safety  Street"			0						0
"Some very small parts are actually inside The London itself ( rather than Tower Hamlets ) like Gravel Lane , Widegate Street and part of  LOCATION1 transit location  Street"				0					0
429	0	0	0	0					0
area around  LOCATION1 general  in very multi-cultural and it is a very busy area	0								0
area around  LOCATION1 price  in very multi-cultural and it is a very busy area		0							0
area around  LOCATION1 safety  in very multi-cultural and it is a very busy area			0						0
area around  LOCATION1 transit location  in very multi-cultural and it is a very busy area				0					0
430	0	0	0	0					0
"Callooh Callay Bar , Loungelover , Barrio East and Nightjar are my favourite places to drink in  LOCATION1 general "	0								0
"Callooh Callay Bar , Loungelover , Barrio East and Nightjar are my favourite places to drink in  LOCATION1 price "		0							0
"Callooh Callay Bar , Loungelover , Barrio East and Nightjar are my favourite places to drink in  LOCATION1 safety "			0						0
"Callooh Callay Bar , Loungelover , Barrio East and Nightjar are my favourite places to drink in  LOCATION1 transit location "				0					0
431	0	0	0	0					0
"Plus , if you live half a minute away from  LOCATION1 general  station , you 'll probably be right next to my Auntie and Uncle 's house"	0								0
"Plus , if you live half a minute away from  LOCATION1 price  station , you 'll probably be right next to my Auntie and Uncle 's house"		0							0
"Plus , if you live half a minute away from  LOCATION1 safety  station , you 'll probably be right next to my Auntie and Uncle 's house"			0						0
"Plus , if you live half a minute away from  LOCATION1 transit location  station , you 'll probably be right next to my Auntie and Uncle 's house"				0					0
432	-1	0	0	0					-1
 LOCATION1 general  's not a great area at the moment	-1								-1
 LOCATION1 price  's not a great area at the moment		0							0
 LOCATION1 safety  's not a great area at the moment			0						0
 LOCATION1 transit location  's not a great area at the moment				0					0
433	1	0	0	0					1
 LOCATION1 general  is getting better	1								1
 LOCATION1 price  is getting better		0							0
 LOCATION1 safety  is getting better			0						0
 LOCATION1 transit location  is getting better				0					0
434	0	0	0	0	0	0	0	0	0
It is situated just to the north of the A4 'above '  LOCATION1 general  and just to the south of the M4 'below ' LOCATION2 Service Area	0								0
It is situated just to the north of the A4 'above '  LOCATION1 price  and just to the south of the M4 'below ' LOCATION2 Service Area		0							0
It is situated just to the north of the A4 'above '  LOCATION1 safety  and just to the south of the M4 'below ' LOCATION2 Service Area			0						0
It is situated just to the north of the A4 'above '  LOCATION1 transit location  and just to the south of the M4 'below ' LOCATION2 Service Area				0					0
It is situated just to the north of the A4 'above ' LOCATION1 and just to the south of the M4 'below '  LOCATION2 general  Service Area					0				0
It is situated just to the north of the A4 'above ' LOCATION1 and just to the south of the M4 'below '  LOCATION2 price  Service Area						0			0
It is situated just to the north of the A4 'above ' LOCATION1 and just to the south of the M4 'below '  LOCATION2 safety  Service Area							0		0
It is situated just to the north of the A4 'above ' LOCATION1 and just to the south of the M4 'below '  LOCATION2 transit location  Service Area								0	0
435	0	0	0	0					0
" LOCATION1 general  , the barfly , fusellier r good"	0								0
" LOCATION1 price  , the barfly , fusellier r good"		0							0
" LOCATION1 safety  , the barfly , fusellier r good"			0						0
" LOCATION1 transit location  , the barfly , fusellier r good"				0					0
436	0	0	0	0					0
East and  LOCATION1 general  tends to be cheaper than West and South	0								0
East and  LOCATION1 price  tends to be cheaper than West and South		0							0
East and  LOCATION1 safety  tends to be cheaper than West and South			0						0
East and  LOCATION1 transit location  tends to be cheaper than West and South				0					0
437	1	0	0	0	0	0	0	0	1
I 've heard  LOCATION1 general  in LOCATION2 is n't bad either	1								1
I 've heard  LOCATION1 price  in LOCATION2 is n't bad either		0							0
I 've heard  LOCATION1 safety  in LOCATION2 is n't bad either			0						0
I 've heard  LOCATION1 transit location  in LOCATION2 is n't bad either				0					0
I 've heard LOCATION1 in  LOCATION2 general  is n't bad either					0				0
I 've heard LOCATION1 in  LOCATION2 price  is n't bad either						0			0
I 've heard LOCATION1 in  LOCATION2 safety  is n't bad either							0		0
I 've heard LOCATION1 in  LOCATION2 transit location  is n't bad either								0	0
438	0	0	0	0					0
In a massive flat which was like behind  LOCATION1 general  by the Royal Standard part	0								0
In a massive flat which was like behind  LOCATION1 price  by the Royal Standard part		0							0
In a massive flat which was like behind  LOCATION1 safety  by the Royal Standard part			0						0
In a massive flat which was like behind  LOCATION1 transit location  by the Royal Standard part				0					0
439	0	0	0	0					0
you do mean  LOCATION1 general  do n't you	0								0
you do mean  LOCATION1 price  do n't you		0							0
you do mean  LOCATION1 safety  do n't you			0						0
you do mean  LOCATION1 transit location  do n't you				0					0
440	1	0	0	0					1
Any  LOCATION1 general  area is good	1								1
Any  LOCATION1 price  area is good		0							0
Any  LOCATION1 safety  area is good			0						0
Any  LOCATION1 transit location  area is good				0					0
441	0	0	0	0	0	0	0	0	0
 LOCATION1 general  has one of the best shopping centres in LOCATION2 so around there might suit	0								0
 LOCATION1 price  has one of the best shopping centres in LOCATION2 so around there might suit		0							0
 LOCATION1 safety  has one of the best shopping centres in LOCATION2 so around there might suit			0						0
 LOCATION1 transit location  has one of the best shopping centres in LOCATION2 so around there might suit				0					0
LOCATION1 has one of the best shopping centres in  LOCATION2 general  so around there might suit					0				0
LOCATION1 has one of the best shopping centres in  LOCATION2 price  so around there might suit						0			0
LOCATION1 has one of the best shopping centres in  LOCATION2 safety  so around there might suit							0		0
LOCATION1 has one of the best shopping centres in  LOCATION2 transit location  so around there might suit								0	0
442	0	0	0	0					0
worked extensively around London and I would agree that  LOCATION1 general  would not be my first choice to live	0								0
worked extensively around London and I would agree that  LOCATION1 price  would not be my first choice to live		0							0
worked extensively around London and I would agree that  LOCATION1 safety  would not be my first choice to live			0						0
worked extensively around London and I would agree that  LOCATION1 transit location  would not be my first choice to live				0					0
443	1	0	0	0					1
"In general ,  LOCATION1 general  is a good choice , do some more research and you might be able to find a good house share or a 1 bed flat too for a decent rental price"	1								1
"In general ,  LOCATION1 price  is a good choice , do some more research and you might be able to find a good house share or a 1 bed flat too for a decent rental price"		0							0
"In general ,  LOCATION1 safety  is a good choice , do some more research and you might be able to find a good house share or a 1 bed flat too for a decent rental price"			0						0
"In general ,  LOCATION1 transit location  is a good choice , do some more research and you might be able to find a good house share or a 1 bed flat too for a decent rental price"				0					0
444	0	1	0	1					2
 LOCATION1 general  is the only other area I can think of that is relatively central yet still affordable ( i e below 130 per week for one room in a shared house )	0								0
 LOCATION1 price  is the only other area I can think of that is relatively central yet still affordable ( i e below 130 per week for one room in a shared house )		1							1
 LOCATION1 safety  is the only other area I can think of that is relatively central yet still affordable ( i e below 130 per week for one room in a shared house )			0						0
 LOCATION1 transit location  is the only other area I can think of that is relatively central yet still affordable ( i e below 130 per week for one room in a shared house )				1					1
445	0	0	0	0					0
In the oldest parts the London and the  LOCATION1 general  this layer can be up to 6 metres deep	0								0
In the oldest parts the London and the  LOCATION1 price  this layer can be up to 6 metres deep		0							0
In the oldest parts the London and the  LOCATION1 safety  this layer can be up to 6 metres deep			0						0
In the oldest parts the London and the  LOCATION1 transit location  this layer can be up to 6 metres deep				0					0
446	0	0	0	-1					-1
(  LOCATION1 general  is a lot further out btw )	0								0
(  LOCATION1 price  is a lot further out btw )		0							0
(  LOCATION1 safety  is a lot further out btw )			0						0
(  LOCATION1 transit location  is a lot further out btw )				-1					-1
447	0	0	0	0					0
 LOCATION1 general  is a very prosperous suburb	0								0
 LOCATION1 price  is a very prosperous suburb		0							0
 LOCATION1 safety  is a very prosperous suburb			0						0
 LOCATION1 transit location  is a very prosperous suburb				0					0
448	1	-1	0	0					0
if you had a limitless budget somewhere like  LOCATION1 general  is a great choice but it 's a very upmarket area and	1								1
if you had a limitless budget somewhere like  LOCATION1 price  is a great choice but it 's a very upmarket area and		-1							-1
