Row Labels,LOCATION1#general,LOCATION1#price,LOCATION1#safety,LOCATION1#transit,LOCATION2#general,LOCATION2#price,LOCATION2#safety,LOCATION2#transit
"Personally , I would steer clear of  LOCATION2   and LOCATION1 , simply because they 're the most expensive areas and with no good reason",,,,,0,-1,0,0
People often cite LOCATION1 as bad but I thought  LOCATION2   was worse,,,,,-1,0,0,0
People often cite  LOCATION1   as bad but I thought LOCATION2 was worse,-1,0,0,0,,,,
People from all over the south and east of England ( and further ) come into  LOCATION1   everyday,0,0,0,0,,,,
People do n't tend to live in  LOCATION1   as it is inner London and full of strip clubs,0,0,0,0,,,,
"parts of LOCATION2 are ok ,  LOCATION1   is nice too but dearer",1,0,0,0,,,,
"parts of  LOCATION2   are ok , LOCATION1 is nice too but dearer",,,,,1,0,0,0
Parts of  LOCATION1   are very pretty too - on the Central Line,1,0,0,1,,,,
"Parts of  LOCATION1   , particularly around the Common have become quite upmarket",1,0,0,0,,,,
"Outside GL could go somewhere like  LOCATION1   which is just to the north Often depends where in Central London you work , as many like to come into the nearest mainline station if live further out",1,0,0,0,,,,
"Outer London town , quite with good schools  LOCATION1  ",0,0,0,0,,,,
Out of the two I would say  LOCATION1   due to the great shops and bars,0,0,0,0,,,,
"Otherwise outside London , somewhere like  LOCATION1   would probably be a bit cheaper",0,1,0,0,,,,
Otherwise LOCATION1 has loads of parks and is calm but ly quite expensive -  LOCATION2   is probably a good place to start and does have some cheaper places,,,,,0,1,0,0
"Otherwise , take the Thames River footpath near  LOCATION1   arsenal station",0,0,0,0,,,,
Otherwise  LOCATION1   has loads of parks and is calm but ly quite expensive - LOCATION2 is probably a good place to start and does have some cheaper places,0,-1,0,0,,,,
Otherwise  LOCATION1  ,0,0,0,0,,,,
Other than that what about LOCATION1  LOCATION2   or richmond areas,,,,,0,0,0,0
Other than that what about  LOCATION1   LOCATION2 or richmond areas,0,0,0,0,,,,
"Other areas to consider are LOCATION1 ( North London ) or  LOCATION2   ( South London ) , you 're in zone 2 there",,,,,1,0,0,0
"Other areas to consider are  LOCATION1   ( North London ) or LOCATION2 ( South London ) , you 're in zone 2 there",1,0,0,0,,,,
"Other areas include :  LOCATION1   - nice neighbourhood , good shops , good for families",1,0,0,0,,,,
"Or you could try LOCATION1 , but I would start with  LOCATION2  ",,,,,1,0,0,0
"Or you could try  LOCATION1   , but I would start with LOCATION2",1,0,0,0,,,,
"or try  LOCATION1   , has some querky little streets , again make sure they are well lit and be aware if it 's dark and you ; re on your own",1,0,0,0,,,,
Or perhaps somewhere near  LOCATION1   or Lea Valley,0,0,0,0,,,,
One paid for attraction that really deserves a mention is  LOCATION1   which for me is the most beautiful place in London,1,0,0,0,,,,
One of the nicest parts of  LOCATION1   is LOCATION1 but the noise levels are really unbearable,1,0,0,0,,,,
"One at  LOCATION1   , Greenland dock and the other at Roundwood Park ( whereever that is",0,0,0,0,,,,
"once you get to  LOCATION1   , get off and visit a few letting agencies",0,0,0,0,,,,
on the other side of the river also  LOCATION1   is a very nice area to live in London,0,0,0,0,,,,
"On the other hand , if I was living in LOCATION1 , I would n't swap it to live in  LOCATION2   ; )",,,,,0,0,0,0
"On the other hand , if I was living in  LOCATION1   , I would n't swap it to live in LOCATION2 ; )",0,0,0,0,,,,
"On the Central Line look at LOCATION1 in  LOCATION2   which is a very creative area with lots of musicans , artists , galleries , restaurants , etc",,,,,0,0,0,0
"On the Central Line look at  LOCATION1   in LOCATION2 which is a very creative area with lots of musicans , artists , galleries , restaurants , etc",1,0,0,1,,,,
OLOCATION1Station area and the  LOCATION2   area ( where I currently live ) is another neat little area more low-key but full of cool nightlife,,,,,0,0,0,0
"Oh for gods sake ,  LOCATION1   is n't that dangerous or bad",0,0,1,0,,,,
Oh and places like LOCATION2 and  LOCATION1   have been added into `` Greater London '' so its a totally different thing,0,0,0,0,,,,
Oh and places like  LOCATION2   and LOCATION1 have been added into `` Greater London '' so its a totally different thing,,,,,0,0,0,0
Oh and  LOCATION1   too,0,0,0,0,,,,
Of course getting anywhere in London from  LOCATION1   is so easy that it really makes it a smart place to stay,0,0,0,1,,,,
"Obviously the best convenient places to stay are in LOCATION2 , Leicester Square , or  LOCATION1   , but also very expensive",0,-1,0,1,,,,
"Obviously the best convenient places to stay are in  LOCATION2   , Leicester Square , or LOCATION1 , but also very expensive",,,,,0,-1,0,1
Now walking down  LOCATION1   high street you 'll be hard pressed to see a white English person - plenty of Polish though,0,0,0,0,,,,
"Now places to stay clear from are LOCATION1 area and anything near it , stay away from  LOCATION2   area as well",,,,,-1,0,0,0
"Now places to stay clear from are  LOCATION1   area and anything near it , stay away from LOCATION2 area as well",-1,0,0,0,,,,
"Now if you like posh areas you could live in West London , in LOCATION2 ,  LOCATION1   ,",0,-1,0,0,,,,
"Now if you like posh areas you could live in West London , in  LOCATION2   , LOCATION1 ,",,,,,0,-1,0,0
Now I am a 16 year old living in  LOCATION1   and I absolutly love it,0,0,0,0,,,,
"Now , these are both London postcodes , but I 've heard on MANY occasions , that LOCATION2 's actually  LOCATION1  ",0,0,0,0,,,,
"Now , these are both London postcodes , but I 've heard on MANY occasions , that  LOCATION2   's actually LOCATION1",,,,,0,0,0,0
"Now , I think  LOCATION1   is the best to live",0,0,0,0,,,,
"Nothing wrong with  LOCATION1   , London is London and you only really get into trouble through your own behaviour",1,0,0,0,,,,
"Not LOCATION2 Generally ,  LOCATION1   is your best bet - but it really depends on your budget",1,0,0,0,,,,
Not cheap but a good selection of bars and clubs with nearby  LOCATION1   also providing good places to go for a drink,0,-1,0,0,,,,
"Not  LOCATION2   Generally , LOCATION1 is your best bet - but it really depends on your budget",,,,,-1,0,0,0
Not  LOCATION1   Court,0,0,0,0,,,,
"Northwest London , in the  LOCATION1  ",0,0,0,0,,,,
"North of the River Thames was  LOCATION1   , and south was mostly Surrey",0,0,0,0,,,,
Nobody living in  LOCATION1   would have enough money or space to employ a nanny,0,0,0,0,,,,
No Go nowhere near it  LOCATION1   is horrible yes it is in fact i was there last weekend You ca n't really pick areas of London that are ` safe ' all the time,-1,0,0,0,,,,
"No 10 Chinese Restaurant does n't sound exciting , but they do excellent Sichuan food in  LOCATION1  ",0,0,0,0,,,,
"Nicest areas are LOCATION2 ,  LOCATION1   , zone 1s",1,0,0,0,,,,
"Nicest areas are  LOCATION2   , LOCATION1 , zone 1s",,,,,1,0,0,0
"Nice , suburban and not too fast-paced  LOCATION1   area is a nice place to live",1,0,0,0,,,,
"Next to me in  LOCATION1   ahh , possibly a stalker",0,0,0,0,,,,
Next is  LOCATION1   ( home of the football team ),0,0,0,0,,,,
new bullet line from  LOCATION1   opens next year which will put you into the centre of London in 25 minutes,0,0,0,1,,,,
Nearest Tube :  LOCATION1   or Temple,0,0,0,0,,,,
Near Manor House opposite to the  LOCATION1  ,0,0,0,0,,,,
NB  LOCATION1   has a bad reputation for crime,0,0,-1,0,,,,
n Most of  LOCATION1   is fine,1,0,0,0,,,,
"My only advice , is to stay well clear of the whole of  LOCATION1  ",-1,0,0,0,,,,
"My mum lives in  LOCATION1   , which is quite a nice , relatively safe area , and rents a gorgeous 1 bed flat for 650 per month",1,0,1,0,,,,
"My hometown is  LOCATION1   , in SW London literally a walk into surrey",0,0,0,0,,,,
my grandparents lived in  LOCATION1   for a long time and it was very boring,-1,0,0,0,,,,
My friend lives in West  LOCATION1   and it ; s hell,-1,0,0,0,,,,
My final recommendation would have to be  LOCATION1  ,1,0,0,0,,,,
My favourites are LOCATION2 and  LOCATION1  ,1,0,0,0,,,,
My favourites are  LOCATION2   and LOCATION1,,,,,1,0,0,0
My favourite place to drink and party in  LOCATION1   is Proud,0,0,0,0,,,,
"My favourite place is  LOCATION1   , despite living in LOCATION1 now",1,0,0,0,,,,
"my dad has a house in  LOCATION1   , and that place is safe : )",0,0,1,0,,,,
Much of the defunct county of  LOCATION1   now lies within various London boroughs,0,0,0,0,,,,
"Much of the commercial development has been focused in the southern half of Tower Hamlets and it is arguable to what extent the jobs there , on the  LOCATION1   , have suited the talents and intentions of local residents",0,0,0,0,,,,
"Most students of all backgrounds live all over the place :  LOCATION1   is a bit grubby , but it 's a big hub for students and young people because of its proximity to Goldsmiths University",-1,0,0,0,,,,
"Most of these she rents out/ uses for other things , she actually lives in Great Cumberland Place ,  LOCATION1   area",0,0,0,0,,,,
Most of London is pretty grim but the worst areas are probably LOCATION1 in the southwest  LOCATION2   in the north is also awful,,,,,-1,0,0,0
Most of London is pretty grim but the worst areas are probably  LOCATION1   in the southwest LOCATION2 in the north is also awful,-1,0,0,0,,,,
Most of LOCATION1 and  LOCATION2   are now bad areas for binge drinking and drugs,,,,,-1,0,-1,0
Most of  LOCATION1   is now inhabited by either Islamic Bangladeshis and Pakistanis and many other muslim people,0,0,0,0,,,,
Most of  LOCATION1   and LOCATION2 are now bad areas for binge drinking and drugs,-1,0,-1,0,,,,
most kids who live there are bad news  LOCATION1   is a rough area and you would not want to bring your daughter up there,0,0,-1,0,,,,
Most areas of London are within 30/40 mins of  LOCATION1   by tube,0,0,0,1,,,,
"More suburban , LOCATION2 and  LOCATION1   are cheaper more standard suburban area",0,1,0,0,,,,
"More suburban ,  LOCATION2   and LOCATION1 are cheaper more standard suburban area",,,,,0,1,0,0
More affordable than LOCATION1 and with quite a division between good and bad areas is  LOCATION2  ,,,,,0,1,0,0
More affordable than  LOCATION1   and with quite a division between good and bad areas is LOCATION2,0,0,0,0,,,,
"Mind you I do n't like the area around Shacklewell Lane , Graham Road or Sandringham Road The conservation area between Queensbridge Road and London Fields has some really beautiful houses I know LOCATION2 well , if you want to live in a place full of twerps try Glasgow , ( or  LOCATION1   ) instead",0,0,0,0,,,,
"Mind you I do n't like the area around Shacklewell Lane , Graham Road or Sandringham Road The conservation area between Queensbridge Road and London Fields has some really beautiful houses I know  LOCATION2   well , if you want to live in a place full of twerps try Glasgow , ( or LOCATION1 ) instead",,,,,0,0,0,0
Mega rich and aristocratic try LOCATION2 and  LOCATION1  ,0,-1,0,0,,,,
Mega rich and aristocratic try  LOCATION2   and LOCATION1,,,,,0,-1,0,0
Me and my partner are moving to East or LOCATION1 because im in Uni there and he just got a job at  LOCATION2  ,,,,,0,0,0,0
Me and my partner are moving to East or  LOCATION1   because im in Uni there and he just got a job at LOCATION2,0,0,0,0,,,,
"MAWAL  LOCATION1   ROAD , London",0,0,0,0,,,,
"Many Thanks , Rizla07 . The only thing I can suggest is to contact the Theatre Royal , LOCATION2 East They take people from 16 - 24 unfortunately , but they will probably be able to help you with finding something for your age group in the area Rizla07 , the only one i know is in  LOCATION1   , very close to Kingsmead Estate",0,0,0,0,,,,
"Many Thanks , Rizla07 . The only thing I can suggest is to contact the Theatre Royal ,  LOCATION2   East They take people from 16 - 24 unfortunately , but they will probably be able to help you with finding something for your age group in the area Rizla07 , the only one i know is in LOCATION1 , very close to Kingsmead Estate",,,,,0,0,0,0
"Lots of stabbings , fights , gangs On the main road on  LOCATION1   road",0,0,-1,0,,,,
"lots of nightlife in The  LOCATION1   area , it really buzzes in the evenings rental accommodation is quite y around that area but I personally would find it a bit claustrophobic to live in",0,-1,0,0,,,,
Lots of great places around LOCATION2 and  LOCATION1   ( tube : Piccadilly Circus or Leicester Square ),1,0,0,1,,,,
Lots of great places around  LOCATION2   and LOCATION1 ( tube : Piccadilly Circus or Leicester Square ),,,,,1,0,0,1
"Lots of bars and restaurants in  LOCATION1   You could go dog racing also , that is local and lots of fun",0,0,0,0,,,,
"Looking at the map , E16 1TX is part of the LOCATION2 Docks known as West  LOCATION1   and looking at it",0,0,0,0,,,,
"Looking at the map , E16 1TX is part of the  LOCATION2   Docks known as West LOCATION1 and looking at it",,,,,0,0,0,0
"Look at South London , areas such as  LOCATION1  ",1,0,0,0,,,,
"Look at Markets , LOCATION1 and  LOCATION2   markets where they sell all kinds of stuff",,,,,0,0,0,0
"Look at Markets ,  LOCATION1   and LOCATION2 markets where they sell all kinds of stuff",0,0,0,0,,,,
Look at LOCATION1 and  LOCATION2  ,,,,,0,0,0,0
Look at  LOCATION1   and LOCATION2,0,0,0,0,,,,
London rents are a rip off  LOCATION1   is where I live,0,0,0,0,,,,
"London LOCATION2 Airport has a dedicated rail line to  LOCATION1   Rail Station , and The Piccadilly line on the 'tube ' also goes to the Airport , that 's going to be the most easy way , it also has a bus service but I have never used it",0,0,0,0,,,,
"London is not as bad as you think and I live in one of the worst parts ,  LOCATION1  ",-1,0,0,0,,,,
London Eye to one side  LOCATION1   to the other,0,0,0,0,,,,
London Eye - Based on the bank of the River Thames near  LOCATION1   this is a spectacle well worth a visit,0,0,0,0,,,,
"London dungeon , London eye and central  LOCATION1  ",0,0,0,0,,,,
London 's Top Attractions  LOCATION1   Abbey The most exciting church in the land is the final resting place for the men and women who built Britain,0,0,0,0,,,,
"London  LOCATION2   Airport has a dedicated rail line to LOCATION1 Rail Station , and The Piccadilly line on the 'tube ' also goes to the Airport , that 's going to be the most easy way , it also has a bus service but I have never used it",,,,,0,0,0,0
LOL enjoy the triggers LOCATION1 is a lovely place btw Go to  LOCATION2  ,,,,,1,0,0,0
LOL enjoy the triggers  LOCATION1   is a lovely place btw Go to LOCATION2,1,0,0,0,,,,
locations such as LOCATION1 and  LOCATION2   are to be regarded as essentially `` London '' and not as Surrey at all,,,,,0,0,0,0
locations such as  LOCATION1   and LOCATION2 are to be regarded as essentially `` London '' and not as Surrey at all,0,0,0,0,,,,
LOCATION2/  LOCATION1   are much cheaper areas and very convenient located,0,1,0,1,,,,
LOCATION2 used to nice but  LOCATION1   are proabably your best bet,1,0,0,0,,,,
LOCATION2 try the LOCATION2 or anywhere near  LOCATION1  ,1,0,0,0,,,,
LOCATION2 or  LOCATION1   if your wallet is big enough,0,-1,0,0,,,,
"LOCATION2 or  LOCATION1   are a bit more urban and not as upmarket but definitely very lively and you wont be bored , a little cheaper too",0,1,0,0,,,,
"LOCATION2 obviously , unless you enjoy commuting I love  LOCATION1  ",1,0,0,0,,,,
LOCATION2 is very nice and  LOCATION1   is also nice,1,0,0,0,,,,
"LOCATION2 is top , although  LOCATION1   is the most expensive",0,-1,0,0,,,,
LOCATION2 is ridiculously expensive when it comes to rent so have a look at  LOCATION1  ,0,1,0,0,,,,
"LOCATION2 is probably the best area for going out (  LOCATION1   ) but living there , I would n't really recommend yet , it 's still a bit rough",0,0,-1,0,,,,
"LOCATION2 is nearer to London ,  LOCATION1   is a cesspit",-1,0,0,0,,,,
"LOCATION2 is n't bad at all - not like  LOCATION1   , which I agree is revolting",-1,0,0,0,,,,
"LOCATION2 is n't a London , neither is  LOCATION1  ",0,0,0,0,,,,
LOCATION2 is more of a problem as there are no tube stops unless you are actually looking at  LOCATION1   which is not a great area,1,0,0,1,,,,
"LOCATION2 is more chilled i think ,  LOCATION1   is where the 'rich ' people are etc",0,-1,0,0,,,,
"LOCATION2 is in Zone 1  LOCATION1   is certainly the most predominately Indian of London 's districts , but the vast majority of the Indian population",0,0,0,0,,,,
"LOCATION2 is in the  LOCATION1   , one of the London Boroughs",0,0,0,0,,,,
LOCATION2 is in London and a really safe suburb and  LOCATION1   is just outside of London and is a safe middle class area,0,0,1,-1,,,,
"LOCATION2 is great , and  LOCATION1   - but they are a tad more y",1,-1,0,0,,,,
LOCATION2 is a brilliant place to live  LOCATION1   ( Northern Line on the Tube ) is a great location,1,0,0,0,,,,
LOCATION2 is a 10 minute walk from  LOCATION1   Station which in a couple of years time will have Crossrail which will get you into Central London in 17 minutes,0,0,0,1,,,,
LOCATION2 has a large Indian/Bangladeshi community and  LOCATION1   has a large Afro/Caribbean community,0,0,0,0,,,,
"LOCATION2 and  LOCATION1   would top my list of places to live in , there is so much history , culture and atmosphere there",0,0,0,0,,,,
"LOCATION2 and  LOCATION1   would suit posh , rich people",0,-1,0,0,,,,
LOCATION2 and  LOCATION1   has a Malaysian community,0,0,0,0,,,,
LOCATION2 and  LOCATION1   are rough areas,0,0,-1,0,,,,
LOCATION2 and  LOCATION1   are meant to be lush,1,0,0,0,,,,
"LOCATION2 and  LOCATION1   are also other nice areas with upmarket bars , but can be quite expensive",1,-1,0,0,,,,
LOCATION2 and  LOCATION1   always appears in the best place to live in the UK listings,0,0,0,0,,,,
"LOCATION2 and  LOCATION1   , are all worth a visit and close enough to explore on foot",0,0,0,0,,,,
LOCATION2 and  LOCATION1   - These form an inner London area with lots of original Victorian housing stock,0,0,0,0,,,,
"LOCATION2 /  LOCATION1   is East , and at the heart of creative London with more art galleries , skinny jeans , retro furniture and cool mini-markets than you can shake a fairys wand at",0,0,0,0,,,,
"LOCATION2 's not a notoriously high crime area it 's easy walking distance to  LOCATION1   , you 'll enjoy that for the night life",0,0,0,0,,,,
"LOCATION2 ,  LOCATION1   just way too touristy and crowded",0,0,0,0,,,,
"LOCATION2 ,  LOCATION1   for example are suburban",0,0,0,0,,,,
"LOCATION2 ,  LOCATION1   are all on the central line with good bus routes and houses reasonably cheap",0,1,0,1,,,,
"LOCATION2 ,  LOCATION1   all got quite cheap properties and c2c line will be handy also as it stops at basildon and these places",0,1,0,1,,,,
"LOCATION2 ,  LOCATION1   , Maidenhead , Marlow , Taplow , Windsor , Henley On Thames , Newbury",0,0,0,0,,,,
"LOCATION1 which is a bit of a dump , does n't reflect  LOCATION2   at all",,,,,0,0,0,0
"LOCATION1 was previously in  LOCATION2   , and richmond in Surrey",,,,,0,0,0,0
LOCATION1 suffers from continuous aircraft noise because it is so close to  LOCATION2  ,,,,,0,0,0,0
LOCATION1 or  LOCATION2  ,,,,,0,0,0,0
LOCATION1 itself is no more expensive than  LOCATION2  ,,,,,0,0,0,0
LOCATION1 is very near  LOCATION2   as well and I have heard good things about that area as well,,,,,0,0,0,0
LOCATION1 is the best followed by  LOCATION2  ,,,,,0,0,0,0
"LOCATION1 is really quite nice ,  LOCATION2   is really , really not",,,,,-1,0,0,0
LOCATION1 is really nice - I live in  LOCATION2  ,,,,,0,0,0,0
LOCATION1 is one I live in  LOCATION2  ,,,,,0,0,0,0
"LOCATION1 is ok a little built up now , but very expensive  LOCATION2   is brilliant",,,,,1,0,0,0
"LOCATION1 is ok , but can be a bit grotty , and getting on to the M1 can be a pain ,  LOCATION2   , would be more beneficial , as you have the Jubilee line into London , and your only minutes away from Junction 4 of the M1 , to get to Luton",,,,,0,0,0,1
LOCATION1 is not the cheapest place to live but not too far to  LOCATION2   which is much cheaper for accomodation,,,,,0,1,0,0
LOCATION1 is not in or near  LOCATION2   Whichever of London 's airports gives you the lowest air fare,,,,,0,0,0,0
"LOCATION1 is not a good area ,  LOCATION2   in  can be quite rough",,,,,0,0,-1,0
LOCATION1 is more leafy and near  LOCATION2   - quite nice,,,,,0,0,0,0
LOCATION1 is looking a bit tatty these days as is  LOCATION2  ,,,,,-1,0,0,0
LOCATION1 is great Tube/overground/THE COMMONS I have lived in  LOCATION2   for 25 years and it 's now one the most safest places to live,,,,,0,0,1,0
LOCATION1 is great for a night out or even  LOCATION2   both great nights out load to do,,,,,0,0,0,0
"LOCATION1 is fashionable so it is more expensive than for instance  LOCATION2   north , north west , central , west tend to be more expensive yes",,,,,0,0,0,0
LOCATION1 is close to  LOCATION2   which is always busy and has supermarkets and everything else you would need,,,,,0,0,0,0
LOCATION1 is beautiful and you will be highly privileged to live there You 'll be fine  LOCATION2   has more restaurants and cafes and has more of an `` urban town `` feel but the three are very close,,,,,0,0,0,0
"LOCATION1 is also a nice place to live its kind of 30 something paradise with restaurants and wine bars , i think if your travelling to cental London ( zone 1 ) then the  LOCATION2   is easier , and a bit nicer journey",,,,,0,0,0,0
LOCATION1 is a very nice place to live - I personally would rather live there than  LOCATION2  ,,,,,0,0,0,0
"LOCATION1 is a very chilled place , much better to go out there than in  LOCATION2  ",,,,,0,0,0,0
"LOCATION1 is a suburb of  LOCATION2   really , but its terrible",,,,,0,0,0,0
LOCATION1 is a posh place but  LOCATION2   is nice also,,,,,1,0,0,0
"LOCATION1 is a particularly nice area to live in ,  LOCATION2   is also extremly nice",,,,,1,0,0,0
LOCATION1 is a good location ( depending on exactly where though to be honest I meant  LOCATION2   end is n't exactly glamorous,,,,,-1,0,0,0
LOCATION1 is a bit on the y side so a cheaper alternative would be  LOCATION2   which is also a perfectly safe area,,,,,0,1,1,0
"LOCATION1 is a bit of a dump ,  LOCATION2   is slightly nicer , though of course both have better and worse areas",,,,,1,0,0,0
"LOCATION1 has lots of good restaurants etc , and  LOCATION2   is very nice",,,,,1,0,0,0
"LOCATION1 has great transport links , train to  LOCATION2  ",,,,,0,0,0,0
"LOCATION1 area , more posh and a better quality of living than in  LOCATION2  ",,,,,0,0,0,0
"LOCATION1 and  LOCATION2   Sorry , but it depends on the colour of your skin",,,,,0,0,0,0
LOCATION1 and  LOCATION2   probably offer the best cheap safe combination,,,,,0,1,1,0
LOCATION1 and  LOCATION2   is just great as it 's near the river and park,,,,,0,0,0,0
LOCATION1 and  LOCATION2   have very high unemployment,,,,,0,0,0,0
LOCATION1 and  LOCATION2   have great transport links and there is plenty of affordable accommodation,,,,,0,1,0,1
LOCATION1 and  LOCATION2   Common have the only remaining island platforms in tunnel,,,,,0,0,0,0
LOCATION1 and  LOCATION2   are unpleasant,,,,,-1,0,0,0
LOCATION1 and  LOCATION2   are the nicest areas and LOCATION1 in particular has more of a villagey feel,,,,,1,0,0,0
LOCATION1 and  LOCATION2   are quite expensive areas to rent/buy in,,,,,0,-1,0,0
LOCATION1 and  LOCATION2   are probably the most well known slum areas,,,,,-1,0,0,0
LOCATION1 and  LOCATION2   are not the nicest places in London,,,,,-1,0,0,0
LOCATION1 and  LOCATION2   are less good in terms of public transport and you might feel you need a car there Stay away if you are working person,,,,,0,0,0,-1
"LOCATION1 and  LOCATION2   are great for pubs and bars ,",,,,,0,0,0,0
"LOCATION1 and  LOCATION2   are also places where a lot of single people live , reasonably central and with a lot going on locally",,,,,0,0,0,1
LOCATION1 and  LOCATION2   : Both full of rich spoilt snobs with three car garages,,,,,0,-1,0,0
LOCATION1 /  LOCATION2   is very cool for shopping and the young people still love to hang out there for live music and drinking,,,,,0,0,0,0
LOCATION1 /  LOCATION2   is a bit busy but with great places to walk and there are lots of houses which are away from any main roads,,,,,0,0,0,0
LOCATION1 ( W12 ) and  LOCATION2   ( W6 ) are further away,,,,,0,0,0,-1
LOCATION1 's close to  LOCATION2   too making it easy to get in and out of the London,,,,,0,0,0,0
"LOCATION1 , up-market , posh and expensive ;  LOCATION2   down-market , cheap and shabby",,,,,-1,1,0,0
"LOCATION1 , before I lived in  LOCATION2   Both very nice areas",,,,,1,0,0,0
"LOCATION1 , and  LOCATION2   are nice locations",,,,,1,0,0,0
"LOCATION1 ,  LOCATION2   still good but less leafy I swear s go up to millions in central London",,,,,0,0,0,0
"LOCATION1 ,  LOCATION2   have hundreds of bars and nightclubs of all different kinds",,,,,0,0,0,0
"LOCATION1 ,  LOCATION2   areas are nice , but expensive",,,,,1,-1,0,0
"LOCATION1 ,  LOCATION2   , there are literally dozens of areas Do n't restrict yourself to the Tube Network",,,,,0,0,0,0
"LOCATION1 - bit more older middle class rich area , very nice , not so many pubs and very expensive  LOCATION2   - lovely villagey feel and close to the beautiful hampstea heath , bit further out",,,,,0,0,0,-1
"LOCATION1 -  LOCATION2   on the rise , so hurry up",,,,,1,0,0,0
LOCATION1 -  LOCATION2   area,,,,,0,0,0,0
"Loads of history , so have a look at LOCATION2 and  LOCATION1  ",0,0,0,0,,,,
"Loads of history , so have a look at  LOCATION2   and LOCATION1",,,,,0,0,0,0
"Loads of eating places in and around  LOCATION1   , the White Horse is quite good and they serve a good London Pride",0,0,0,0,,,,
Living in  LOCATION1   is not spectacular,0,0,0,0,,,,
live in a riverside boat house and saw Ian Dury drinking in The Dove on  LOCATION1   riverfront,0,0,0,0,,,,
Live in  LOCATION1   or the immediate area SW15 and drink in The Bricklayer 's Arms and you will not go wrong,0,0,0,0,,,,
Linton Kwesi Johnson is a long time  LOCATION1   resident House music duo Basement Jaxx formed in LOCATION1,0,0,0,0,,,,
Likewise LOCATION1 and  LOCATION2  ,,,,,0,0,0,0
Likewise  LOCATION1   and LOCATION2,0,0,0,0,,,,
"Like much of LOCATION2 ,  LOCATION1   is a poor area",-1,0,0,0,,,,
"Like much of  LOCATION2   , LOCATION1 is a poor area",,,,,-1,0,0,0
like LOCATION1 or  LOCATION2  ,,,,,0,0,0,0
like  LOCATION1   or LOCATION2,0,0,0,0,,,,
"lesiure centre , cinemas , southside shopping centre nearby , restaurants , hair salons  LOCATION1   is the place to be",0,0,0,0,,,,
"Leicester Square is a pedestrianised square in the  LOCATION1   , England",0,0,0,0,,,,
Legendary jazz club now open in new premises in  LOCATION1  ,0,0,0,0,,,,
"LE3 0LE Tel : 01162547910 CAFE LA MARQUISE Address : 439  LOCATION1   Road , London",0,0,0,0,,,,
Last year i lived in  LOCATION1   and it was pretty rubbish,0,0,0,0,,,,
Know some parts of  LOCATION1  ,0,0,0,0,,,,
Kent County Council has no jurisdiction over  LOCATION1  ,0,0,0,0,,,,
"Just watch out for  LOCATION1   , thats a no-go",-1,0,0,0,,,,
"Just up to road in  LOCATION1   is plain dangerous , I myself was mugged with a knife there once , and I would thoroughly discourage you to look for anything there",-1,0,-1,0,,,,
just stay away from  LOCATION1   I lived in London and worked all over it for several years,1,0,0,0,,,,
"Just outside the main  LOCATION1   area is very different , though",0,0,0,0,,,,
Just exercise the same caution as you would do at home  LOCATION1   is half gentrified and upmarket and the other half is full of bars and restaurants V safe,1,0,0,0,,,,
just do n't live in  LOCATION1  ,0,0,0,0,,,,
just do n't live in  LOCATION1  ,0,0,0,0,,,,
"Just be careful of  LOCATION1   , it can be scary there especially when traveling there at night alone",0,0,-1,0,,,,
Just avoid LOCATION1 and  LOCATION2   unless you want to just go home and stay at home each evening ( some parts are rough,,,,,0,0,-1,0
Just avoid  LOCATION1   and LOCATION2 unless you want to just go home and stay at home each evening ( some parts are rough,0,0,-1,0,,,,
Just around the corner from  LOCATION1   is one of the largest parks in London also containing London Zoo,0,0,0,0,,,,
"It was the Crown Tavern , in  LOCATION1  ",0,0,0,0,,,,
It is true that there are some very rough areas not too far away  LOCATION1   in particular is notorious,0,0,-1,0,,,,
It is named after an extinct bird which lived on  LOCATION1   Common and hardly anywhere else in the world,0,0,0,0,,,,
"It is in the London borough of LOCATION2 though and that has a reputation as being a bit rough , but , I have friends who live in and around  LOCATION1   , and they 're the arty/graphic designer/posh type",0,0,0,0,,,,
"It is in the London borough of  LOCATION2   though and that has a reputation as being a bit rough , but , I have friends who live in and around LOCATION1 , and they 're the arty/graphic designer/posh type",,,,,0,0,0,0
It is in the  LOCATION1  ,0,0,0,0,,,,
It is also much easier to travel to  LOCATION1  ,0,0,0,1,,,,
"It is about 440 miles this way ; not necessarily the most direct route , but decidedly the quickest After joining the M40 at  LOCATION1   , the next urban area is Sighthill in Edinburgh",0,0,0,0,,,,
It is a LOVELY place  LOCATION1  ,1,0,0,0,,,,
It has to be in LOCATION2 -  LOCATION1  ,0,0,0,0,,,,
It has to be in  LOCATION2   - LOCATION1,,,,,0,0,0,0
It depends where in  LOCATION1  ,0,0,0,0,,,,
"It depends really - there are loads of suburbs out in the Metropolitan/Essex area , or you can plump for  LOCATION1   - both sets of surburbs are kind of similar",0,0,0,0,,,,
It depends on which bit of  LOCATION1   you are looking at,0,0,0,0,,,,
"It annoys me when people say I `` live '' in LOCATION1 ,  LOCATION2   etc when they rent and I am just thinking you do n't really live there because you do n't own it",,,,,0,0,0,0
"It annoys me when people say I `` live '' in  LOCATION1   , LOCATION2 etc when they rent and I am just thinking you do n't really live there because you do n't own it",0,0,0,0,,,,
"It actually shows that the most `` dangerous '' area is probably the area you immediately think of when you think of London ,  LOCATION1  ",0,0,-1,0,,,,
